manifest_sha256,map_name,instance_id,method,actual_a_i,selected_candidate_id,selected_baseline,selected_non_baseline,winning_candidate_rank,winning_canonical_pair,winning_pair_conflict_event_count,top_ranked_pair_selected
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,cglps,3,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_high_002,ubls,3,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_000,cglps,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_000,ubls,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_001,cglps,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_001,ubls,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_002,cglps,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_low_002,ubls,0,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_000,cglps,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_000,ubls,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,cglps,2,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_001,ubls,2,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_002,cglps,1,0,1,0,,,,
14964ee449b826c6280299f68a6cfc0cc42d34f3045d87070971027009dbb71c,AR0400SR,AR0400SR_n20_medium_002,ubls,1,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_high_000,cglps,1,1,0,1,1,"(1, 3)",241,True
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_high_000,ubls,1,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_high_001,cglps,3,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_high_001,ubls,3,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_high_002,cglps,1,1,0,1,1,"(2, 4)",367,True
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_high_002,ubls,1,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_low_000,cglps,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_low_000,ubls,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_low_001,cglps,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_low_001,ubls,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_low_002,cglps,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_low_002,ubls,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_medium_000,cglps,2,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_medium_000,ubls,2,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_medium_001,cglps,1,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_medium_001,ubls,1,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_medium_002,cglps,1,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n05_medium_002,ubls,1,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_high_000,cglps,4,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_high_000,ubls,4,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_high_001,cglps,3,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_high_001,ubls,3,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_high_002,cglps,4,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_high_002,ubls,4,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_low_000,cglps,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_low_000,ubls,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_low_001,cglps,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_low_001,ubls,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_low_002,cglps,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_low_002,ubls,0,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_medium_000,cglps,2,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_medium_000,ubls,2,0,1,0,,,,
a8bec75ead3a9f18a6d4e99fa05aa5a2f4291ee289b47debf5533ec06dc18403,AR0307SR,AR0307SR_n10_medium_001,cglps,1,0,1,0,,,,
